time,x,y,z,vx,vy,vz,fx,fy,fz,kinetic_energy,displacement
0.07300000346731395,7.261775e-05,7.4653384e-05,-14.963578,0.0019390645,0.0019954504,0.49790522,0.9975062,1.1617085,-1.0875431,4.846784,0.036421925
0.0740000035148114,7.460195e-05,7.6691744e-05,-14.96308,0.0019691512,0.0020240576,0.4978792,1.1763928,1.1185454,-1.0176657,4.846282,0.036919747
0.07500000356230885,7.661197e-05,7.8759e-05,-14.962583,0.0019963991,0.002052863,0.49784687,1.0653985,1.1262861,-1.2647095,4.845657,0.037417572
0.0760000036098063,7.8648394e-05,8.084856e-05,-14.962085,0.0020230818,0.0020773187,0.49781743,1.0432911,0.95621866,-1.1512647,4.845088,0.037915397
0.07700000365730375,8.071381e-05,8.296139e-05,-14.961587,0.0020513064,0.0021009995,0.4977893,1.1035825,0.9259186,-1.1004872,4.844545,0.038413223
0.0780000037048012,8.2801766e-05,8.5101135e-05,-14.961089,0.0020757327,0.0021268283,0.4977575,0.95507073,1.0099065,-1.2430357,4.84393,0.03891105
0.07900000375229865,8.491772e-05,8.726866e-05,-14.960591,0.0021025457,0.0021539577,0.49773172,1.0483876,1.0607561,-1.0078704,4.8434324,0.03940887
0.0800000037997961,8.7058164e-05,8.9458605e-05,-14.9600935,0.0021278113,0.0021779523,0.4977043,0.98788285,0.93818986,-1.072291,4.842903,0.039906695
0.08100000384729356,8.922756e-05,9.168139e-05,-14.959596,0.0021555333,0.0022078366,0.49767315,1.0839287,1.168472,-1.2179097,4.842302,0.040404525
0.08200000389479101,9.143484e-05,9.392511e-05,-14.959098,0.002190037,0.0022317604,0.49764106,1.3490961,0.93542236,-1.2544667,4.8416824,0.04090235
0.08300000394228846,9.366454e-05,9.6191405e-05,-14.9586,0.0022164753,0.0022547808,0.49761733,1.0337385,0.9000955,-0.9274773,4.841225,0.041400176
0.08400000398978591,9.591385e-05,9.848633e-05,-14.958102,0.0022383668,0.0022815438,0.49758416,0.85595834,1.0464275,-1.2972637,4.8405843,0.041898
0.08500000403728336,9.819797e-05,0.000100803976,-14.957604,0.0022688725,0.002305612,0.49755642,1.1927735,0.9410686,-1.0845517,4.8400493,0.042395826
0.08600000408478081,0.000100505895,0.00010314958,-14.957107,0.0022949085,0.002332275,0.49752894,1.0180082,1.0425245,-1.0741067,4.839519,0.042893652
0.08700000413227826,0.00010284383,0.000105523635,-14.956609,0.00232359,0.0023601316,0.4975026,1.1214467,1.0891892,-1.0305918,4.839012,0.043391477
0.08800000417977571,0.00010521016,0.00010792546,-14.956111,0.0023520833,0.0023879237,0.4974735,1.1140912,1.086671,-1.1370856,4.8384514,0.043889303
0.08900000422727317,0.000107600434,0.00011035887,-14.955613,0.0023775434,0.0024182536,0.49744442,0.99548686,1.1858995,-1.1370254,4.8378906,0.044387132
0.09000000427477062,0.00011001012,0.0001128183,-14.955115,0.0023989738,0.0024457027,0.4974149,0.8379334,1.0732596,-1.1542103,4.837321,0.04488496
0.09100000432226807,0.0001124543,0.00011530028,-14.9546175,0.0024291098,0.0024698903,0.49738798,1.1783167,0.9457329,-1.0525217,4.8368025,0.045382783
0.09200000436976552,0.00011491931,0.00011780451,-14.95412,0.0024530445,0.002492784,0.49735788,0.9358452,0.8951467,-1.1763873,4.8362217,0.045880612
0.09300000441726297,0.0001174152,0.000120335244,-14.953623,0.0024816042,0.0025180816,0.49732727,1.116686,0.9891285,-1.1965752,4.835632,0.046377484
